key,group_01,group_02,group_03,group_04,group_05,group_06,group_07,group_08,group_09
4901,0,1,0,0,0,0,0,0,0
60763,0,0,0,0,0,0,0,0,1
10008,0,1,0,0,0,0,0,0,0
142377,0,0,0,0,0,0,0,0,1
131974,0,0,0,0,0,0,0,0,1
61597,0,0,0,0,0,0,0,0,1
100399,0,0,0,0,0,0,0,0,1
71255,0,0,0,0,0,0,0,0,1
57172,0,0,0,0,0,0,0,0,1
139977,0,0,0,0,0,0,0,0,1
17540,0,1,0,0,0,0,0,0,0
28760,0,0,0,0,1,0,0,0,0
131235,0,0,0,0,0,0,0,0,1
43651,0,0,0,0,0,1,0,0,0
34176,0,0,0,0,0,1,0,0,0
115801,0,0,0,0,0,0,0,0,1
50409,0,0,0,0,0,0,0,1,0
4810,0,1,0,0,0,0,0,0,0
95580,0,0,0,0,0,0,0,0,1
52661,0,0,0,0,0,0,0,1,0
40169,0,0,0,0,0,1,0,0,0
54460,0,0,0,0,0,0,0,1,0
109746,0,0,0,0,0,0,0,0,1
26522,0,0,0,1,0,0,0,0,0
4459,0,1,0,0,0,0,0,0,0
114662,0,0,0,0,0,0,0,0,1
72324,0,0,0,0,0,0,0,0,1
31877,0,0,0,0,0,1,0,0,0
18173,0,0,1,0,0,0,0,0,0
127793,0,0,0,0,0,0,0,0,1
14414,0,1,0,0,0,0,0,0,0
47258,0,0,0,0,0,0,1,0,0
31106,0,0,0,0,1,0,0,0,0
37843,0,0,0,0,0,1,0,0,0
44682,0,0,0,0,0,1,0,0,0
12342,0,1,0,0,0,0,0,0,0
90920,0,0,0,0,0,0,0,0,1
103994,0,0,0,0,0,0,0,0,1
129861,0,0,0,0,0,0,0,0,1
41248,0,0,0,0,0,1,0,0,0
34026,0,0,0,0,0,1,0,0,0
120329,0,0,0,0,0,0,0,0,1
87383,0,0,0,0,0,0,0,0,1
8436,0,1,0,0,0,0,0,0,0
131649,0,0,0,0,0,0,0,0,1
120209,0,0,0,0,0,0,0,0,1
88319,0,0,0,0,0,0,0,0,1
56747,0,0,0,0,0,0,0,1,0
100664,0,0,0,0,0,0,0,0,1
128442,0,0,0,0,0,0,0,0,1
23462,0,0,1,0,0,0,0,0,0
126604,0,0,0,0,0,0,0,0,1
51274,0,0,0,0,0,0,0,1,0
24463,0,0,1,0,0,0,0,0,0
68349,0,0,0,0,0,0,0,0,1
39988,0,0,0,0,0,1,0,0,0
30157,0,0,0,0,1,0,0,0,0
51909,0,0,0,0,0,0,0,1,0
13996,0,1,0,0,0,0,0,0,0
43765,0,0,0,0,0,1,0,0,0
103659,0,0,0,0,0,0,0,0,1
17991,0,1,0,0,0,0,0,0,0
87083,0,0,0,0,0,0,0,0,1
20860,0,0,1,0,0,0,0,0,0
116855,0,0,0,0,0,0,0,0,1
6982,0,1,0,0,0,0,0,0,0
122873,0,0,0,0,0,0,0,0,1
125874,0,0,0,0,0,0,0,0,1
120129,0,0,0,0,0,0,0,0,1
47586,0,0,0,0,0,0,1,0,0
122822,0,0,0,0,0,0,0,0,1
42015,0,0,0,0,0,1,0,0,0
118694,0,0,0,0,0,0,0,0,1
33604,0,0,0,0,0,1,0,0,0
135108,0,0,0,0,0,0,0,0,1
137398,0,0,0,0,0,0,0,0,1
78030,0,0,0,0,0,0,0,0,1
43881,0,0,0,0,0,1,0,0,0
10376,0,1,0,0,0,0,0,0,0
10908,0,1,0,0,0,0,0,0,0
117990,0,0,0,0,0,0,0,0,1
97089,0,0,0,0,0,0,0,0,1
114084,0,0,0,0,0,0,0,0,1
48193,0,0,0,0,0,0,1,0,0
61114,0,0,0,0,0,0,0,0,1
10478,0,1,0,0,0,0,0,0,0
102926,0,0,0,0,0,0,0,0,1
48263,0,0,0,0,0,0,1,0,0
96679,0,0,0,0,0,0,0,0,1
69775,0,0,0,0,0,0,0,0,1
131781,0,0,0,0,0,0,0,0,1
97451,0,0,0,0,0,0,0,0,1
95752,0,0,0,0,0,0,0,0,1
74358,0,0,0,0,0,0,0,0,1
29182,0,0,0,0,1,0,0,0,0
51960,0,0,0,0,0,0,0,1,0
68220,0,0,0,0,0,0,0,0,1
69130,0,0,0,0,0,0,0,0,1
110397,0,0,0,0,0,0,0,0,1
134987,0,0,0,0,0,0,0,0,1
23006,0,0,1,0,0,0,0,0,0
53473,0,0,0,0,0,0,0,1,0
80934,0,0,0,0,0,0,0,0,1
74578,0,0,0,0,0,0,0,0,1
106634,0,0,0,0,0,0,0,0,1
50114,0,0,0,0,0,0,0,1,0
138242,0,0,0,0,0,0,0,0,1
9096,0,1,0,0,0,0,0,0,0
34114,0,0,0,0,0,1,0,0,0
814,1,0,0,0,0,0,0,0,0
74621,0,0,0,0,0,0,0,0,1
137113,0,0,0,0,0,0,0,0,1
125191,0,0,0,0,0,0,0,0,1
11471,0,1,0,0,0,0,0,0,0
124217,0,0,0,0,0,0,0,0,1
87753,0,0,0,0,0,0,0,0,1
136501,0,0,0,0,0,0,0,0,1
134191,0,0,0,0,0,0,0,0,1
110299,0,0,0,0,0,0,0,0,1
89358,0,0,0,0,0,0,0,0,1
82970,0,0,0,0,0,0,0,0,1
50503,0,0,0,0,0,0,0,1,0
40807,0,0,0,0,0,1,0,0,0
84738,0,0,0,0,0,0,0,0,1
120421,0,0,0,0,0,0,0,0,1
54940,0,0,0,0,0,0,0,1,0
69566,0,0,0,0,0,0,0,0,1
101640,0,0,0,0,0,0,0,0,1
87760,0,0,0,0,0,0,0,0,1
25048,0,0,1,0,0,0,0,0,0
65797,0,0,0,0,0,0,0,0,1
79224,0,0,0,0,0,0,0,0,1
23952,0,0,1,0,0,0,0,0,0
114885,0,0,0,0,0,0,0,0,1
105894,0,0,0,0,0,0,0,0,1
61588,0,0,0,0,0,0,0,0,1
119613,0,0,0,0,0,0,0,0,1
2165,0,1,0,0,0,0,0,0,0
74312,0,0,0,0,0,0,0,0,1
118357,0,0,0,0,0,0,0,0,1
101449,0,0,0,0,0,0,0,0,1
60086,0,0,0,0,0,0,0,0,1
23069,0,0,1,0,0,0,0,0,0
41488,0,0,0,0,0,1,0,0,0
9955,0,1,0,0,0,0,0,0,0
76792,0,0,0,0,0,0,0,0,1
88506,0,0,0,0,0,0,0,0,1
17263,0,1,0,0,0,0,0,0,0
37721,0,0,0,0,0,1,0,0,0
129099,0,0,0,0,0,0,0,0,1
34168,0,0,0,0,0,1,0,0,0
125195,0,0,0,0,0,0,0,0,1
139175,0,0,0,0,0,0,0,0,1
28742,0,0,0,1,0,0,0,0,0
27732,0,0,0,1,0,0,0,0,0
2900,0,1,0,0,0,0,0,0,0
21454,0,0,1,0,0,0,0,0,0
38545,0,0,0,0,0,1,0,0,0
75668,0,0,0,0,0,0,0,0,1
57298,0,0,0,0,0,0,0,0,1
142531,0,0,0,0,0,0,0,0,1
118155,0,0,0,0,0,0,0,0,1
61365,0,0,0,0,0,0,0,0,1
122262,0,0,0,0,0,0,0,0,1
143282,0,0,0,0,0,0,0,0,1
17773,0,1,0,0,0,0,0,0,0
106472,0,0,0,0,0,0,0,0,1
77249,0,0,0,0,0,0,0,0,1
140637,0,0,0,0,0,0,0,0,1
81580,0,0,0,0,0,0,0,0,1
119364,0,0,0,0,0,0,0,0,1
103550,0,0,0,0,0,0,0,0,1
29727,0,0,0,0,1,0,0,0,0
54022,0,0,0,0,0,0,0,1,0
33582,0,0,0,0,0,1,0,0,0
128619,0,0,0,0,0,0,0,0,1
136986,0,0,0,0,0,0,0,0,1
33447,0,0,0,0,0,1,0,0,0
135672,0,0,0,0,0,0,0,0,1
55876,0,0,0,0,0,0,0,1,0
59839,0,0,0,0,0,0,0,0,1
88396,0,0,0,0,0,0,0,0,1
22047,0,0,1,0,0,0,0,0,0
93208,0,0,0,0,0,0,0,0,1
120556,0,0,0,0,0,0,0,0,1
54510,0,0,0,0,0,0,0,1,0
